Date;data;product
2015-01-31;8,450182456144663;Acerola
2015-02-28;7,907688521841739;Acerola
2015-03-31;7,940330868376324;Acerola
2015-04-30;8,051910798802002;Acerola
2015-05-31;7,863673484457181;Acerola
2015-06-30;7,898836425305415;Acerola
2015-07-31;8,363090738622095;Acerola
2015-08-31;7,869144624332666;Acerola
2015-09-30;8,295593295150347;Acerola
2015-10-31;8,335015289335379;Acerola
2015-11-30;7,867628332261485;Acerola
2015-12-31;8,494125624833577;Acerola
2016-01-31;8,266250692012113;Acerola
29/02/2016;8,262062356597017;Acerola
31/03/2016;8,143762812017547;Acerola
30/04/2016;8,330376056494673;Acerola
2016-05-31;8,627550047954095;Acerola
"2016-06-30,""8.459524841381654"",Acerola";;
"2016-07-31,""8.482653255848641"",Acerola";;
"2016-08-31,""8.429753473499774"",Acerola";;
2016-09-30;8,527400934102515;Acerola
2016-10-31;8,106306379019342;Acerola
2016-11-30;8,57384352759211;Acerola
2016-12-31;8,269438560562067;Acerola
2017-01-31;8,251652990624878;Acerola
2017-02-28;8,04846869762763;Acerola
2017-03-31;8,440318625932614;Acerola
2017-04-30;8,421895091556985;Acerola
2017-05-31;8,441862103144375;Acerola
2017-06-30;8,394792032261504;Acerola
2017-07-31;8,633799614007602;Acerola
2017-08-31;8,418114187519405;Acerola
2017-09-30;8,688845112994311;Acerola
2017-10-31;8,441576577996447;Acerola
2017-11-30;8,743553474191446;Acerola
2017-12-31;8,45545089339132;Acerola
2018-01-31;8,535055920117626;Acerola
2018-02-28;8,365736360414234;Acerola
2018-03-31;8,576519953345189;Acerola
2018-04-30;8,572207028231185;Acerola
2018-05-31;8,838358722510826;Acerola
2018-06-30;8,625554724946172;Acerola
2018-07-31;8,91649048175475;Acerola
2018-08-31;8,816190509465523;Acerola
2018-09-30;8,785912784264434;Acerola
2018-10-31;8,787230138293442;Acerola
2018-11-30;8,935387081464432;Acerola
2018-12-31;8,780599450868648;Acerola
2019-01-31;8,993647493505309;Acerola
2019-02-28;8,443696025724002;Acerola
2019-03-31;8,772403140506803;Acerola
2019-04-30;8,682089993526064;Acerola
2019-05-31;8,930248309573868;Acerola
2019-06-30;9,078792378590428;Acerola
2019-07-31;9,246154182646148;Acerola
2019-08-31;9,26989857366379;Acerola
2019-09-30;9,339000156908776;Acerola
2019-10-31;9,30862464623974;Acerola
2019-11-30;9,089740078155952;Acerola
2019-12-31;9,149052180834024;Acerola
2020-01-31;9,194318662578894;Acerola
2020-02-29;8,888650023273684;Acerola
2020-03-31;9,062658107802124;Acerola
2020-04-30;9,010154775504406;Acerola
2020-05-31;9,358868397856376;Acerola
2020-06-30;9,34899295786107;Acerola
2020-07-31;9,431953128732635;Acerola
2020-08-31;9,39391174566766;Acerola
2020-09-30;9,598721977308273;Acerola
2015-01-31;107,71935759184606;Ananas
2015-02-28;102,93084085928764;Ananas
2015-03-31;109,47531228546464;Ananas
2015-04-30;97,69337746234388;Ananas
2015-05-31;93,77787585566224;Ananas
2015-06-30;108,61825813370422;Ananas
2015-07-31;106,10413752535764;Ananas
2015-08-31;115,18697843072364;Ananas
2015-09-30;109,54327911834665;Ananas
2015-10-31;121,08620895874148;Ananas
2015-11-30;115,04168809609848;Ananas
